"title","category_name","view_count","like_count","comment_count","published_at","thumbnail_url","tags","subscriber_count","video_count","is_weekend","video_length"
"Rap Việt 2024 Tập 6: Bigteam 2.0 xuất trận ""giải đố các phép toán"" khai mạc vòng Đối Đầu","Music",3834082,72389,6261,"2024-10-26 14:00:06","https://i.ytimg.com/vi/i0RPJmHLj3s/hqdefault.jpg","vie channel,rapper,underground,the rapper,rapper việt,suboi,justatee,big daddy,thái vg,rap việt full,rap việt tập 6,rap việt 2024,rap viet 2024,Rap Việt 2024,rap việt 2024 mới nhất,rap viet tap 6,rap việt 2024 tập 6,tập 6 rap việt 2024,tap 6 rap viet 2024,rap việt mới nhất,rap viet mua 4,thai vg,karik,team big daddy,rap việt mùa 4 tập 6,rap viet 4,hieuthuhai,hieuthuhai rap việt,bigteam 2.0,cộng,trừ,nhân,chia,team bigdaddy,vòng đối đầu,7dnight",11000000,11071,True,"2:08:11"
"T1 vs GEN (BO5) | CKTG 2024 - Bán Kết 2 | 27.10.2024","Entertainment",3178699,32239,490,"2024-10-27 16:41:41","https://i.ytimg.com/vi/QphkgnxZ-oE/hqdefault.jpg","",696000,1623,True,"3:58:32"
"REAL MADRID - BARCELONA | KỊCH BẢN KHÔNG TƯỞNG NGAY TẠI EL CLASICO LƯỢT ĐI | LALIGA EA SPORTS 24/25","Sports",2350762,36402,3303,"2024-10-26 22:09:18","https://i.ytimg.com/vi/bg1hLsLpwYI/hqdefault.jpg","SCTV,sctv,sctv thể thao,ssport,sctv17,sctv15,thể thao,bóng đá,sự kiện thể thao,laliga santander,highlight bóng đá,laliga",163000,2792,True,"0:15:28"
"ROSÉ & Bruno Mars - APT. (Official Music Video)","Music",176675107,6705977,313749,"2024-10-18 04:00:07","https://i.ytimg.com/vi/ekr2nIex040/hqdefault.jpg","YG Entertainment,YG,와이지,K-pop,BLACKPINK,블랙핑크,블핑,로제,Rosé,BLINK,블링크,bruno mars,APT.,apt,apartment game,meet me at the,meet me at the apt,bruno mars rose apt,rose,rosesarerosie,rose apt,rose apt music video,rose apt video,rose bruno mars,rose bruno mars kiss,rose kiss",10100000,27,False,"0:02:54"
"Bạn mới lạ lùng | Nhà điên vui nhộn tập 22 | Tôm channel official #Shorts","Gaming",2579921,43137,109,"2024-10-22 04:15:01","https://i.ytimg.com/vi/aHlEy8795Ag/hqdefault.jpg","tôm,tôm official,tôm channel official,tôm tiktok,tôm review,tiktok tôm,tôm vlog,tom hài hước,tôm tiktok hài,tôm channel,tiktok hài hước,tôm hài hước,phim ngắn hài hước,phim hài ngắn,phim hài ngắn hay,phim hài ngắn việt nam,phim ngắn hài,phim ngắn,sitcom hài,vietnam sitcom,phim hai sitcom viet nam,sitcom,hài hước,video hài,video hài hước,phim hài sitcom,sitcom ngắn,nhà điên vui nhộn,nhà điên,nhà vui nhộn,nhà thương điên,nhà vui",1600000,785,False,"0:01:00"
"Friends make memories together part 2  | Trà Đặng #short #bestfriend #bff #tiktok","Entertainment",60270629,1394406,1248,"2024-10-17 05:31:13","https://i.ytimg.com/vi/rm-4EtvByhA/hqdefault.jpg","trà đặng,tra dang,trà đặng cover,trà đặng tik tok,tra dang tiktok,tra dang tik tok,trà đặng official,tra dang compilation,tra dang tiktok compilation,tik tok trà đặng,trà đặng tiktok,tiktok biến hình trà đặng,trà đặng vê vê,Friends make memories together,tra dang and her sister,tra dang tram do,tra dang baby,tra dang 904 tiktok,memes compilation,beautiful compilation,tik tok dance,trà đặng cực ngầu,cosplayer,trà đặng nhảy,trà đặng ngầu",1460000,254,False,"0:00:18"
"2 Ngày 1 Đêm Mùa 3 - Tập 69: Dương Lâm tự tin “đá sân nhà”, Kiều Minh Tuấn “nâng giá” cười mồi","Entertainment",1535942,45121,4015,"2024-10-27 13:40:06","https://i.ytimg.com/vi/krJbgklRtec/hqdefault.jpg","dong tay promotion,đông tây promotion,htv,tvshow,gameshow,2 ngay 1 dem,2 ngày 1 đêm việt nam,2 ngay 1 dem viet nam,2 days 1 night,trường giang,kiều minh tuấn,cris phan,dương lâm,lê dương bảo lâm,ngô kiến huy,duong lam,2 ngày 1 đêm full,bts 2 ngày 1 đêm,hậu trường 2 ngày 1 đêm mùa 3,HIEUTHUHAI,hai ngày một đêm,2n1d,2 ngày 1 đêm mùa 3 tập 68,2 ngày 1 đêm mùa 3 tập 19,2 ngày 1 đêm tập 68,2 ngày 1 đêm mùa lễ hội 2024,2 ngay 1 dem mua le hoi 2024",9470000,8156,True,"2:07:06"
"MISS GRAND INTERNATIONAL 2024  GRAND FINAL","Entertainment",15697680,286204,6251,"2024-10-25 15:44:42","https://i.ytimg.com/vi/ReD8i61RZdI/hqdefault.jpg","มิสแกรนด์,มิสแกรนด์ไทยแลนด์,miss grand thailand,miss grand,นางงาม,ประกวดนางงาม,ณวัฒน์,มิสแกรนด์ไทยแลนด์ 2023,มิสแกรนด์ไทยแลนด์ 2024,บ้านแกรนด์,Miss Grand International,mgt,GrandTV",2060000,2218,False,"3:36:00"
"ai là thủ phạm ăn vụng chân gà?","People & Blogs",965872,14872,100,"2024-10-26 09:45:03","https://i.ytimg.com/vi/zB9UnlAwA0k/hqdefault.jpg","hành tinh đồ chơi,toy planet,anh tóc xanh,anh bốn mắt,chân gà,ai là thủ phạm",118000,185,True,"0:00:36"
"A PÁO CÃI LÝ VỚI CÁN BỘ - 4 #shrots","Entertainment",6922593,66598,379,"2024-10-16 04:05:16","https://i.ytimg.com/vi/aMxvY0IldwM/hqdefault.jpg","",1290000,1181,False,"0:01:00"
